Ticker,Name,Sector,Industry,Score,Action,Composite_Flag,Moat_Score,Moat_Label,Price,Analyst_Target,Analyst_Upside,Analyst_Count,Mkt_Cap,PE_Fwd,PS,PB,PEG,EV_EBITDA,ROE,Rev_Growth,Rev_Growth_Prev,Gross_Margin,Op_Margin,Profit_Margin,FCF_Yield,EPS_Growth,EPS_Surprise,From_Low_Pct,From_High_Pct,Debt_Equity,Beta,Short_Float,Inst_Own,Insider_Buy_Pct,Div_Yield,Payout_Ratio,ROA,Current_Ratio,MA200,Vs_MA200
ZM,"Zoom Communications, Inc.",Technology,Software - Application,72.7,BUY,💎 Deep Value · 📈 Analyst Conviction,82.0,Wide,73.94,97.48,31.84,27.0,$22.1B,12.1,4.55,2.23,0.15,11.25,20.0,5.3,2.79,77.02,20.04,39.03,8.95,83.2,,14.8,-24.23,0.0,0.9,2.31,78.89,100.0,,,6.12,4.33,82.19,-10.04
RGA,"Reinsurance Group of America, I",Financial Services,Insurance - Reinsurance,72.3,BUY,🚀 Accel Growth · 💎 Deep Value · 💰 Income,39.0,Weak,215.73,246.78,14.39,9.0,$14.2B,7.53,0.6,1.05,0.04,7.92,10.0,26.6,6.93,13.67,9.16,4.99,12.7,212.8,,35.47,-5.88,0.42,0.51,6.04,99.46,100.0,172.0,20.58,0.87,1.26,196.9,9.56
KFY,Korn Ferry,Industrials,Staffing & Employment Services,72.0,BUY,💎 Deep Value · 💰 Income,45.5,Weak,62.67,80.25,28.05,4.0,$3.3B,10.93,1.17,1.67,0.57,7.46,14.0,7.0,5.77,24.69,13.17,9.31,7.95,19.1,,6.31,-20.17,0.28,1.31,3.86,100.46,100.0,306.0,36.86,6.1,2.14,69.16,-9.38
COLL,"Collegium Pharmaceutical, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,71.9,BUY,💎 Deep Value · ⚠️ High Leverage,73.2,Narrow,41.67,53.83,29.18,6.0,$1.3B,5.94,1.69,4.38,0.17,4.63,24.0,12.9,3.33,87.78,22.91,8.05,20.53,35.3,,79.38,-17.95,3.1,,18.08,122.97,100.0,,,6.72,1.57,38.38,8.57
PRGS,Progress Software Corporation,Technology,Software - Infrastructure,71.8,BUY,🚀 Accel Growth · ⚠️ High Leverage,66.5,Narrow,41.88,65.5,56.4,6.0,$1.8B,7.03,1.84,3.71,0.0,9.5,16.0,17.5,4.95,85.03,17.19,7.48,12.42,2144.6,,21.15,-36.06,2.99,0.58,13.66,111.7,100.0,,,4.38,0.49,47.03,-10.95
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,71.6,BUY,—,76.5,Wide,1051.99,1214.34,15.43,29.0,$992.4B,25.07,15.23,35.47,0.5,30.81,101.0,42.6,38.28,83.04,44.9,31.67,0.2,50.5,,68.65,-7.23,1.65,0.39,0.75,84.67,100.0,59.0,26.14,19.42,1.58,874.43,20.31
FHI,"Federated Hermes, Inc.",Financial Services,Asset Management,71.2,BUY,💰 Income,88.2,Wide,56.01,54.71,-2.32,7.0,$4.3B,9.76,2.41,3.45,0.37,7.13,34.0,13.7,0.04,67.92,28.08,22.4,,26.4,,59.8,-2.11,0.28,0.72,4.36,91.32,100.0,243.0,25.93,14.89,2.75,50.02,11.98
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,71.2,BUY,📈 Analyst Conviction · 💰 Income,75.0,Wide,392.74,596.0,51.75,53.0,$2.9T,20.84,9.56,7.46,0.35,16.83,34.0,16.7,10.86,68.59,47.09,39.04,1.84,59.5,,13.91,-29.29,0.32,1.08,0.76,75.86,100.0,93.0,21.28,14.86,1.39,485.76,-19.15
ALSN,"Allison Transmission Holdings, ",Consumer Cyclical,Auto Parts,71.0,BUY,🚀 Accel Growth · 💎 Deep Value · ⚠️ High Leverage,70.0,Narrow,125.3,126.7,1.12,10.0,$10.4B,10.77,3.46,20.1,0.11,12.16,35.0,20.4,-9.53,48.6,27.33,20.7,4.48,96.7,,64.85,-0.8,3.96,0.98,3.85,104.18,100.0,86.0,14.73,10.01,4.85,94.94,31.98
CTSH,Cognizant Technology Solutions ,Technology,Information Technology Services,71.0,BUY,💎 Deep Value · 📈 Analyst Conviction · 💰 Income,57.5,Narrow,64.43,90.2,40.0,25.0,$31.1B,10.47,1.47,2.06,0.56,7.84,15.0,4.9,5.87,33.72,16.0,10.56,6.2,18.7,,7.31,-25.97,0.08,0.96,8.15,104.66,100.0,205.0,27.19,10.23,2.14,75.21,-14.33
ESCA,"Escalade, Incorporated",Consumer Cyclical,Leisure,70.6,BUY,💎 Deep Value · 💰 Income,40.5,Weak,14.4,20.0,38.89,1.0,$199M,7.35,0.83,1.14,0.2,8.62,8.0,-2.2,-15.03,26.92,8.24,5.7,10.36,37.1,,26.21,-15.24,0.11,,1.84,30.72,100.0,423.0,65.22,5.22,4.28,13.25,8.68
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,70.5,BUY,💰 Income,82.5,Wide,311.76,376.86,20.88,56.0,$3.8T,23.24,9.36,9.08,0.78,24.71,36.0,18.0,13.42,59.65,31.57,32.81,1.01,29.8,,121.85,-10.67,0.16,1.09,1.26,80.77,100.0,27.0,7.68,15.43,2.0,249.6,24.9
UVE,UNIVERSAL INSURANCE HOLDINGS IN,Financial Services,Insurance - Property & Casualty,70.4,BUY,💰 Income,62.4,Narrow,35.17,40.0,13.73,1.0,$996M,8.79,0.62,1.79,0.01,2.71,40.0,6.0,3.98,22.93,22.08,11.41,,1006.5,,73.08,-1.87,0.18,0.7,2.18,73.87,100.0,182.0,15.09,5.49,0.5,28.57,23.1
MU,"Micron Technology, Inc.",Technology,Semiconductors,70.3,BUY,🚀 Accel Growth · 💰 Income,63.5,Narrow,412.37,390.9,-5.21,39.0,$464.1B,9.26,10.97,7.9,0.05,20.97,23.0,56.7,40.51,45.31,44.97,28.15,0.1,180.2,,570.08,-9.47,0.21,1.5,2.75,82.21,100.0,11.0,4.37,10.93,2.46,207.79,98.46
EXEL,"Exelixis, Inc.",Healthcare,Biotechnology,70.0,BUY,⭐ Compounder · 💎 Deep Value,95.5,Wide,44.06,47.17,7.06,18.0,$11.8B,11.03,5.09,5.35,0.15,11.48,36.0,5.6,7.62,96.39,39.41,33.73,5.34,74.8,,36.07,-11.21,0.09,0.42,15.51,103.07,100.0,,,19.26,3.56,41.7,5.66
HRMY,"Harmony Biosciences Holdings, I",Healthcare,Biotechnology,70.0,BUY,⭐ Compounder · 🚀 Accel Growth · ⚠️ High Short,85.5,Wide,28.54,42.0,47.16,11.0,$1.6B,4.93,1.89,1.89,,4.47,21.0,21.1,-0.39,77.16,15.82,18.27,12.86,-54.6,,11.83,-30.17,0.19,0.84,20.52,90.97,100.0,,,11.48,3.6,34.06,-16.21
UHS,"Universal Health Services, Inc.",Healthcare,Medical Care Facilities,69.9,BUY,⭐ Compounder · 💎 Deep Value · 💰 Income,60.5,Narrow,206.1,251.76,22.15,17.0,$13.1B,8.16,0.76,1.73,0.24,6.79,21.0,9.1,4.13,43.89,11.53,8.57,4.31,34.2,,35.3,-16.33,0.7,1.27,5.04,97.44,100.0,39.0,3.81,8.31,1.05,200.27,2.91
CRCT,"Cricut, Inc.",Technology,Computer Hardware,69.8,BUY,💎 Deep Value · 💰 Income · ⚠️ Below 200 DMA,69.0,Narrow,4.3,3.33,-22.56,3.0,$914M,25.75,1.28,2.55,0.33,7.16,19.0,1.5,-17.77,54.3,13.29,11.31,19.73,78.6,,9.14,-41.34,0.03,0.09,12.56,58.9,100.0,464.0,54.05,9.91,2.36,5.45,-21.1
NEWT,"NewtekOne, Inc.",Financial Services,Banks - Regional,69.6,BUY,—,57.6,Narrow,12.28,17.0,38.44,5.0,$355M,4.93,0.93,1.01,0.75,4.74,17.0,3.0,-6.66,85.25,55.59,15.79,,6.6,,34.65,-17.64,2.07,1.31,9.84,51.48,100.0,618.0,33.93,5.13,56.84,11.67,5.23
RNR,RenaissanceRe Holdings Ltd.,Financial Services,Insurance - Reinsurance,69.6,BUY,🚀 Accel Growth · 💰 Income,62.0,Narrow,302.46,314.47,3.97,15.0,$13.2B,7.3,1.02,1.22,,-1.78,20.0,27.6,-7.73,36.5,43.68,20.85,-111.78,,,38.11,-4.25,0.13,0.23,2.43,99.82,100.0,54.0,2.86,4.96,3.08,258.0,17.23
CDE,"Coeur Mining, Inc.",Basic Materials,Gold,69.6,BUY,🚀 Accel Growth,74.0,Narrow,27.15,27.14,-0.04,7.0,$17.4B,12.9,8.42,5.26,0.03,17.05,26.0,120.9,54.02,54.82,50.62,28.3,2.22,467.9,,492.79,-2.23,0.11,1.22,13.33,87.11,100.0,,,13.22,2.47,15.28,77.68
ENVA,"Enova International, Inc.",Financial Services,Credit Services,69.6,BUY,🚀 Accel Growth · ⚠️ High Leverage,65.3,Narrow,139.05,193.71,39.31,7.0,$3.4B,7.6,2.31,2.57,0.32,,24.0,22.9,4.73,82.68,23.64,20.68,,24.0,,75.11,-21.3,3.39,1.21,10.0,95.15,100.0,,,5.26,19.33,124.6,11.6
GDDY,GoDaddy Inc.,Technology,Software - Infrastructure,69.4,BUY,💎 Deep Value · ⚠️ High Leverage · ⚠️ Below 200 DMA,80.5,Wide,87.16,124.79,43.17,14.0,$12.1B,6.66,2.44,54.61,0.28,11.44,193.0,6.8,2.1,63.61,25.14,17.67,10.84,23.4,,19.3,-54.97,17.96,0.93,6.11,103.73,100.0,,,8.75,0.61,140.15,-37.81
SNX,TD SYNNEX Corporation,Technology,Electronics & Computer Distribution,69.3,BUY,💎 Deep Value · 💰 Income,30.5,None,156.81,179.73,14.62,11.0,$12.7B,9.75,0.2,1.49,0.35,8.33,10.0,9.7,7.7,6.99,2.31,1.32,10.55,27.5,,70.02,-10.68,0.6,1.37,2.13,92.16,100.0,122.0,17.69,2.76,1.21,147.75,6.13
APP,Applovin Corporation,Communication Services,Advertising Agencies,69.0,BUY,🚀 Accel Growth · 📈 Analyst Conviction · ⚠️ High Beta,76.0,Wide,434.77,660.11,51.83,28.0,$146.9B,21.85,26.81,68.9,0.26,34.58,213.0,65.9,-5.32,87.86,76.92,60.83,1.84,84.0,,116.84,-41.69,1.72,2.49,4.91,81.14,100.0,,,39.53,3.32,508.52,-14.5
AXS,Axis Capital Holdings Limited,Financial Services,Insurance - Specialty,68.8,BUY,🚀 Accel Growth · 💰 Income,47.6,Weak,105.72,123.64,16.95,11.0,$8.3B,7.28,1.26,1.35,,6.11,16.0,17.8,-2.81,32.58,20.19,15.37,,-1.4,,24.66,-4.19,0.23,0.62,1.19,95.34,100.0,166.0,14.25,2.66,0.69,99.84,5.89
CRM,"Salesforce, Inc.",Technology,Software - Application,68.5,BUY,💎 Deep Value · 📈 Analyst Conviction · 💰 Income · ⚠️ Below 200 DMA,70.5,Narrow,194.79,283.56,45.57,52.0,$185.4B,13.08,4.47,3.08,0.95,15.12,12.0,12.1,2.43,77.68,19.24,17.96,9.09,13.8,,11.58,-35.73,0.29,1.28,2.1,84.25,100.0,90.0,22.0,5.18,0.76,247.17,-21.19
CHKP,Check Point Software Technologi,Technology,Software - Infrastructure,68.4,BUY,⭐ Compounder · 💎 Deep Value · 📈 Analyst Conviction · ⚠️ Below 200 DMA,82.0,Wide,152.07,204.61,34.55,29.0,$16.3B,13.19,5.99,5.63,0.72,17.03,37.0,5.9,-5.47,87.92,31.27,38.78,4.08,18.3,,1.27,-35.11,0.68,0.6,6.69,77.44,,,,7.66,2.05,197.44,-22.98
IBM,International Business Machines,Technology,Information Technology Services,68.4,BUY,💎 Deep Value · 📈 Analyst Conviction,67.5,Narrow,240.21,321.95,34.03,19.0,$224.5B,17.9,3.32,6.89,0.19,17.1,35.0,12.2,-3.28,58.19,24.77,15.69,5.86,92.2,,11.99,-26.07,1.97,0.69,2.34,65.67,100.0,280.0,60.23,5.44,0.96,279.97,-14.2
NTAP,"NetApp, Inc.",Technology,Software - Infrastructure,68.3,BUY,💎 Deep Value,81.6,Wide,99.03,119.5,20.67,16.0,$19.8B,11.59,2.95,16.93,0.99,10.97,113.0,4.4,-5.0,70.46,25.16,18.07,5.98,11.7,,37.85,-21.81,2.15,,10.73,101.77,100.0,210.0,36.24,10.27,1.39,109.02,-9.16
DBD,Diebold Nixdorf Incorporated,Technology,Software - Application,68.3,BUY,💎 Deep Value,38.0,Weak,80.0,96.67,20.84,3.0,$2.9B,11.91,0.75,2.57,0.02,7.75,10.0,11.7,12.38,26.37,11.57,2.49,10.53,785.7,,129.39,-5.28,0.99,1.55,4.8,104.36,100.0,,,5.68,1.3,61.4,30.29
PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure,68.2,BUY,🚀 Accel Growth · 📈 Analyst Conviction,74.0,Narrow,137.19,184.49,34.48,26.0,$328.1B,74.23,73.31,44.41,0.11,223.08,26.0,70.0,33.63,82.37,40.9,36.31,0.38,670.4,,107.49,-33.89,0.03,1.69,2.35,61.73,100.0,,,11.6,7.11,161.5,-15.05
SU,Suncor Energy  Inc.,Energy,Oil & Gas Integrated,68.2,BUY,💎 Deep Value · 💰 Income,65.0,Narrow,56.52,51.38,-9.09,3.0,$68.4B,16.93,1.4,2.04,0.21,5.01,13.0,-3.9,-6.65,59.08,15.73,12.1,9.32,80.4,,83.57,-1.07,0.32,0.75,,72.16,100.0,310.0,47.63,5.62,1.39,42.64,32.55
